  N levels =   46          CBMF=    12.102     SST=   27.02 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    24.672      14.671010     0.048    0.00       1.016
    975.0    22.488      14.451617     0.049    0.00       1.994
    950.0    20.395      14.381963     0.051    0.00       1.756
    925.0    19.693      12.080176     0.052    0.00       2.001
    900.0    18.360      10.883311     0.053    0.00       1.724
    875.0    17.116       9.791968     0.055    0.00       1.645
    850.0    15.842       8.864154     0.056    0.00       1.553
    825.0    14.512       8.070975     0.057    0.00       1.478
    800.0    13.134       7.379849     0.057    0.00       1.423
    775.0    11.694       6.773720     0.058    0.00       1.384
    750.0    10.183       6.260796     0.059    0.00       1.372
    725.0     8.599       5.746151     0.060    0.00       1.371
    700.0     6.979       5.199302     0.060    0.00       1.390
    675.0     5.315       4.610446     0.061    0.00       1.419
    650.0     3.615       3.967317     0.061    0.00       1.450
    625.0     1.888       3.421750     0.062    0.00       1.490
    600.0     0.036       2.941932     0.063    0.00       1.557
    575.0    -1.969       2.313775     0.065    0.00       1.547
    550.0    -3.655       1.760383     0.066    0.00       1.498
    525.0    -5.462       1.365325     0.068    0.00       1.475
    500.0    -7.464       1.098778     0.069    0.00       1.422
    475.0    -9.738       0.932703     0.071    0.00       1.372
    450.0   -12.361       0.840676     0.073    0.00       1.339
    425.0   -15.395       0.797886     0.075    0.00       1.345
    400.0   -18.868       0.783009     0.077    0.00       1.400
    375.0   -22.773       0.781309     0.081    0.00       1.607
    350.0   -27.034       0.775333     0.085    0.00       2.284
    325.0   -31.011       0.252380     0.091    0.00       1.808
    300.0   -35.692       0.212798     0.096    0.00       1.614
    275.0   -40.833       0.177209     0.107    0.00       1.552
    250.0   -46.399       0.124607     0.117    0.00       1.415
    225.0   -52.612       0.049077     0.135    0.00       1.010
    200.0   -59.509       0.027080     0.153    0.00       0.742
    175.0   -67.121       0.014479     0.175    0.00       0.377
    150.0   -65.264       0.001272     0.202    0.00       0.015
    125.0   -64.291       0.001000     0.243    0.00      -0.027
    100.0   -64.048       0.001000     0.405    0.00      -0.046
     80.0   -62.941       0.001000     0.755    0.00      -0.051
     60.0   -59.207       0.001000     2.042    0.00      -0.070
     40.0   -54.363       0.001000     5.238    0.00      -0.095
     30.0   -51.977       0.001000     8.440    0.00      -0.107
     25.0   -51.252       0.001000    10.124    0.00      -0.111
     20.0   -50.119       0.001000    11.773    0.00      -0.116
     15.0   -48.191       0.001000    13.882    0.00      -0.126
     10.0   -44.109       0.001000    13.873    0.00      -0.147
      5.0   -27.401       0.001000    10.548    0.00      -0.227
