  N levels =   46          CBMF=    11.932     SST=   28.70 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    26.438      16.423407     0.048    0.00       1.060
    975.0    24.247      16.190126     0.049    0.00       1.995
    950.0    22.145      16.120962     0.051    0.00       1.733
    925.0    21.503      13.688196     0.052    0.00       2.040
    900.0    20.170      12.486835     0.053    0.00       1.761
    875.0    18.952      11.360487     0.055    0.00       1.691
    850.0    17.712      10.385345     0.056    0.00       1.598
    825.0    16.430       9.532899     0.057    0.00       1.527
    800.0    15.099       8.777725     0.057    0.00       1.469
    775.0    13.707       8.146105     0.058    0.00       1.423
    750.0    12.236       7.561963     0.059    0.00       1.399
    725.0    10.715       6.987331     0.060    0.00       1.386
    700.0     9.137       6.394860     0.060    0.00       1.389
    675.0     7.509       5.745263     0.061    0.00       1.398
    650.0     5.851       4.988021     0.061    0.00       1.425
    625.0     4.180       4.414449     0.062    0.00       1.462
    600.0     2.342       3.950097     0.063    0.00       1.514
    575.0     0.397       3.473145     0.065    0.00       1.607
    550.0    -1.659       2.845163     0.066    0.00       1.528
    525.0    -3.395       2.226870     0.068    0.00       1.566
    500.0    -5.244       1.749246     0.069    0.00       1.542
    475.0    -7.320       1.469930     0.071    0.00       1.508
    450.0    -9.792       1.465218     0.073    0.00       1.468
    425.0   -12.758       1.692031     0.075    0.00       1.455
    400.0   -15.604       0.682333     0.077    0.00       1.459
    375.0   -18.828       0.369702     0.081    0.00       1.562
    350.0   -22.564       0.262100     0.085    0.00       1.691
    325.0   -26.774       0.206846     0.091    0.00       2.304
    300.0   -31.449       0.177276     0.096    0.00       1.792
    275.0   -36.515       0.125681     0.107    0.00       1.623
    250.0   -42.129       0.095542     0.117    0.00       1.438
    225.0   -48.356       0.073251     0.135    0.00       1.222
    200.0   -55.287       0.048150     0.153    0.00       0.940
    175.0   -62.991       0.025403     0.175    0.00       0.611
    150.0   -70.369       0.009679     0.202    0.00       0.222
    125.0   -67.734       0.001000     0.243    0.00      -0.037
    100.0   -67.695       0.001000     0.405    0.00      -0.109
     80.0   -67.012       0.001000     0.755    0.00      -0.123
     60.0   -63.026       0.001000     2.042    0.00      -0.202
     40.0   -57.450       0.001000     5.238    0.00      -0.314
     30.0   -54.500       0.001000     8.440    0.00      -0.373
     25.0   -53.487       0.001000    10.124    0.00      -0.393
     20.0   -52.074       0.001000    11.773    0.00      -0.422
     15.0   -49.796       0.001000    13.882    0.00      -0.467
     10.0   -45.155       0.001000    13.873    0.00      -0.560
      5.0   -27.173       0.001000    10.548    0.00      -0.920
