  N levels =   46          CBMF=    12.109     SST=   26.85 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    24.498      14.497829     0.048    0.00       0.962
    975.0    22.315      14.280150     0.049    0.00       1.974
    950.0    20.223      14.209486     0.051    0.00       1.765
    925.0    19.511      11.915423     0.052    0.00       1.942
    900.0    18.174      10.717862     0.053    0.00       1.674
    875.0    16.918       9.634728     0.055    0.00       1.588
    850.0    15.626       8.724866     0.056    0.00       1.494
    825.0    14.273       7.963766     0.057    0.00       1.422
    800.0    12.862       7.316638     0.057    0.00       1.375
    775.0    11.380       6.748805     0.058    0.00       1.350
    750.0     9.832       6.248361     0.059    0.00       1.358
    725.0     8.227       5.732615     0.060    0.00       1.377
    700.0     6.579       5.176641     0.060    0.00       1.424
    675.0     4.893       4.559510     0.061    0.00       1.468
    650.0     3.180       3.919905     0.061    0.00       1.501
    625.0     1.413       3.388047     0.062    0.00       1.575
    600.0    -0.518       2.688946     0.063    0.00       1.604
    575.0    -2.109       2.052573     0.065    0.00       1.535
    550.0    -3.787       1.582751     0.066    0.00       1.495
    525.0    -5.613       1.249627     0.068    0.00       1.416
    500.0    -7.646       1.025852     0.069    0.00       1.333
    475.0    -9.964       0.887341     0.071    0.00       1.266
    450.0   -12.635       0.810972     0.073    0.00       1.224
    425.0   -15.713       0.775008     0.075    0.00       1.225
    400.0   -19.220       0.761057     0.077    0.00       1.298
    375.0   -23.143       0.757446     0.081    0.00       1.539
    350.0   -27.409       0.750369     0.085    0.00       2.417
    325.0   -31.397       0.242627     0.091    0.00       1.573
    300.0   -36.091       0.207110     0.096    0.00       1.495
    275.0   -41.238       0.175862     0.107    0.00       1.526
    250.0   -46.779       0.114642     0.117    0.00       1.284
    225.0   -53.028       0.051752     0.135    0.00       0.732
    200.0   -59.916       0.027469     0.153    0.00       0.580
    175.0   -67.547       0.013209     0.175    0.00       0.138
    150.0   -64.800       0.001063     0.202    0.00      -0.047
    125.0   -64.118       0.001000     0.243    0.00      -0.009
    100.0   -64.036       0.001000     0.405    0.00      -0.003
     80.0   -62.940       0.001000     0.755    0.00      -0.003
     60.0   -59.207       0.001000     2.042    0.00      -0.003
     40.0   -54.363       0.001000     5.238    0.00      -0.002
     30.0   -51.977       0.001000     8.440    0.00      -0.002
     25.0   -51.252       0.001000    10.124    0.00      -0.002
     20.0   -50.119       0.001000    11.773    0.00      -0.002
     15.0   -48.191       0.001000    13.882    0.00      -0.002
     10.0   -44.109       0.001000    13.873    0.00      -0.002
      5.0   -27.401       0.001000    10.548    0.00       0.003
