  N levels =   46          CBMF=    11.752     SST=   29.39 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    27.138      17.269665     0.048    0.00       1.051
    975.0    24.943      17.033775     0.049    0.00       1.895
    950.0    22.839      16.958946     0.051    0.00       1.594
    925.0    22.276      14.431441     0.052    0.00       1.942
    900.0    20.996      13.186276     0.053    0.00       1.665
    875.0    19.809      12.049699     0.055    0.00       1.615
    850.0    18.599      11.073048     0.056    0.00       1.539
    825.0    17.353      10.216362     0.057    0.00       1.482
    800.0    16.068       9.443851     0.057    0.00       1.435
    775.0    14.737       8.728341     0.058    0.00       1.401
    750.0    13.355       8.092560     0.059    0.00       1.376
    725.0    11.905       7.488229     0.060    0.00       1.359
    700.0    10.393       6.875834     0.060    0.00       1.346
    675.0     8.833       6.247479     0.061    0.00       1.333
    650.0     7.213       5.607118     0.061    0.00       1.328
    625.0     5.533       4.978338     0.062    0.00       1.319
    600.0     3.765       4.409057     0.063    0.00       1.352
    575.0     1.855       3.908776     0.065    0.00       1.384
    550.0    -0.252       3.272057     0.066    0.00       1.331
    525.0    -1.969       2.669571     0.068    0.00       1.417
    500.0    -3.828       2.225593     0.069    0.00       1.490
    475.0    -5.920       1.913701     0.071    0.00       1.546
    450.0    -8.310       1.687861     0.073    0.00       1.589
    425.0   -11.047       1.497000     0.075    0.00       1.648
    400.0   -14.164       1.324437     0.077    0.00       1.755
    375.0   -17.734       1.217808     0.081    0.00       2.056
    350.0   -21.823       1.234053     0.085    0.00       1.748
    325.0   -25.516       0.385298     0.091    0.00       1.523
    300.0   -29.946       0.290260     0.096    0.00       1.569
    275.0   -34.886       0.239759     0.107    0.00       1.616
    250.0   -40.371       0.185861     0.117    0.00       1.564
    225.0   -46.514       0.140192     0.135    0.00       1.355
    200.0   -53.411       0.095562     0.153    0.00       1.108
    175.0   -61.123       0.032565     0.175    0.00       0.861
    150.0   -66.496       0.011651     0.202    0.00       0.513
    125.0   -70.680       0.002542     0.243    0.00       0.109
    100.0   -71.972       0.001000     0.405    0.00      -0.117
     80.0   -72.091       0.001000     0.755    0.00      -0.106
     60.0   -70.751       0.001000     2.042    0.00      -0.239
     40.0   -68.233       0.001000     5.238    0.00      -0.492
     30.0   -66.824       0.001000     8.440    0.00      -0.632
     25.0   -66.391       0.001000    10.124    0.00      -0.676
     20.0   -65.502       0.001000    11.773    0.00      -0.765
     15.0   -63.759       0.001000    13.882    0.00      -0.939
     10.0   -60.586       0.001000    13.873    0.00      -1.256
      5.0   -43.996       0.001000    10.548    0.00      -2.915
