  N levels =   46          CBMF=    10.158     SST=   26.75 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    24.849      15.467815     0.048    0.00       1.250
    975.0    22.684      15.290237     0.049    0.00       1.735
    950.0    20.589      15.210496     0.051    0.00       1.409
    925.0    20.148      12.710280     0.051    0.00       1.733
    900.0    18.853      11.602357     0.054    0.00       1.435
    875.0    17.646      10.563590     0.055    0.00       1.370
    850.0    16.403       9.678720     0.055    0.00       1.280
    825.0    15.116       8.910800     0.057    0.00       1.211
    800.0    13.782       8.221408     0.057    0.00       1.154
    775.0    12.397       7.625822     0.058    0.00       1.117
    750.0    10.946       7.054610     0.059    0.00       1.089
    725.0     9.450       6.482389     0.060    0.00       1.071
    700.0     7.903       5.893952     0.061    0.00       1.067
    675.0     6.311       5.292129     0.061    0.00       1.065
    650.0     4.661       4.716558     0.061    0.00       1.053
    625.0     2.925       4.191329     0.062    0.00       1.085
    600.0     1.060       3.674554     0.063    0.00       1.138
    575.0    -0.978       3.091509     0.065    0.00       1.099
    550.0    -2.687       2.537156     0.066    0.00       1.183
    525.0    -4.462       2.061272     0.068    0.00       1.209
    500.0    -6.486       1.756158     0.069    0.00       1.226
    475.0    -8.734       1.496898     0.070    0.00       1.257
    450.0   -11.198       1.234279     0.073    0.00       1.234
    425.0   -13.907       0.984467     0.075    0.00       1.455
    400.0   -16.946       0.794608     0.078    0.00       1.410
    375.0   -20.376       0.642729     0.081    0.00       1.259
    350.0   -24.300       0.463727     0.085    0.00       1.123
    325.0   -28.767       0.287910     0.091    0.00       0.898
    300.0   -33.345       0.194920     0.097    0.00       0.705
    275.0   -38.588       0.137626     0.107    0.00       0.616
    250.0   -44.389       0.076244     0.119    0.00       0.532
    225.0   -51.040       0.046797     0.135    0.00       0.694
    200.0   -58.143       0.030305     0.154    0.00       0.721
    175.0   -65.748       0.016752     0.176    0.00       0.128
    150.0   -63.670       0.001299     0.206    0.00      -0.059
    125.0   -62.402       0.001000     0.265    0.00      -0.019
    100.0   -62.033       0.001000     0.405    0.00      -0.020
     80.0   -60.551       0.001000     0.755    0.00      -0.018
     60.0   -56.150       0.001000     2.042    0.00      -0.015
     40.0   -50.032       0.001000     5.238    0.00      -0.012
     30.0   -46.319       0.001000     8.440    0.00      -0.009
     25.0   -44.763       0.001000    10.124    0.00      -0.007
     20.0   -42.945       0.001000    11.773    0.00      -0.006
     15.0   -40.273       0.001000    13.882    0.00      -0.004
     10.0   -35.255       0.001000    13.873    0.00      -0.001
      5.0   -15.856       0.001000    10.548    0.00       0.003
