  N levels =   46          CBMF=    11.532     SST=   29.26 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    26.995      17.130419     0.048    0.00       1.055
    975.0    24.800      16.895926     0.049    0.00       1.951
    950.0    22.697      16.819099     0.051    0.00       1.670
    925.0    22.158      14.220633     0.052    0.00       2.004
    900.0    20.902      12.915193     0.053    0.00       1.726
    875.0    19.724      11.739136     0.055    0.00       1.666
    850.0    18.520      10.732947     0.056    0.00       1.580
    825.0    17.278       9.853312     0.057    0.00       1.516
    800.0    15.996       9.063822     0.057    0.00       1.463
    775.0    14.667       8.337324     0.058    0.00       1.421
    750.0    13.286       7.696747     0.059    0.00       1.396
    725.0    11.837       7.091076     0.060    0.00       1.381
    700.0    10.326       6.516579     0.060    0.00       1.376
    675.0     8.737       5.946546     0.061    0.00       1.374
    650.0     7.085       5.379233     0.061    0.00       1.387
    625.0     5.360       4.819593     0.062    0.00       1.401
    600.0     3.560       4.236314     0.063    0.00       1.442
    575.0     1.682       3.718395     0.065    0.00       1.505
    550.0    -0.370       2.996962     0.066    0.00       1.433
    525.0    -2.012       2.318155     0.068    0.00       1.494
    500.0    -3.746       1.805470     0.069    0.00       1.512
    475.0    -5.667       1.440526     0.071    0.00       1.520
    450.0    -7.874       1.200828     0.073    0.00       1.518
    425.0   -10.477       1.060763     0.075    0.00       1.531
    400.0   -13.565       0.991374     0.077    0.00       1.582
    375.0   -17.191       0.963839     0.081    0.00       1.773
    350.0   -21.349       0.955083     0.085    0.00       1.780
    325.0   -25.965       0.960799     0.091    0.00       2.050
    300.0   -30.235       0.317149     0.096    0.00       1.720
    275.0   -35.175       0.214396     0.107    0.00       1.633
    250.0   -40.712       0.156770     0.117    0.00       1.510
    225.0   -46.903       0.124594     0.135    0.00       1.301
    200.0   -53.813       0.083223     0.153    0.00       1.030
    175.0   -61.522       0.030401     0.175    0.00       0.712
    150.0   -69.198       0.012019     0.202    0.00       0.409
    125.0   -69.872       0.001000     0.243    0.00       0.014
    100.0   -70.810       0.001000     0.405    0.00      -0.117
     80.0   -70.791       0.001000     0.755    0.00      -0.118
     60.0   -68.366       0.001000     2.042    0.00      -0.239
     40.0   -64.211       0.001000     5.238    0.00      -0.447
     30.0   -61.862       0.001000     8.440    0.00      -0.564
     25.0   -60.998       0.001000    10.124    0.00      -0.608
     20.0   -59.598       0.001000    11.773    0.00      -0.678
     15.0   -57.250       0.001000    13.882    0.00      -0.795
     10.0   -52.438       0.001000    13.873    0.00      -1.036
      5.0   -31.963       0.001000    10.548    0.00      -2.059
